iteration,hub upper bound,hub lower bound
0,inf,-inf
1,inf,46331.87
2,inf,47039.17
3,inf,47792.67
4,inf,47969.1949655172
5,inf,48463.62999999995
6,inf,48873.319999999985
7,inf,49202.66999999996
8,inf,49438.67999999994
9,inf,49604.87
10,inf,49807.462
11,inf,50001.56079787234
12,inf,50369.97736842105
13,inf,50412.08999999999
14,inf,50781.97
15,inf,50781.97
16,59803.07,51138.29777777778
17,59803.07,51138.29777777778
18,59803.07,51338.04285714281
19,59803.07,51422.37999999997
20,59803.07,51511.764111203935
21,59803.07,51595.01035087719
22,59803.07,51794.18
23,59803.07,51834.28999999987
24,59803.07,51969.02710144927
25,59803.07,52143.45
26,59803.07,52294.69365267411
27,59803.07,52463.92999999999
28,59803.07,52463.92999999999
29,59803.07,52463.92999999999
30,59803.07,52609.23999999997
31,59803.07,52664.99999999999
32,59803.07,52747.70415206413
33,59228.05,52886.77
34,59228.05,52886.77
35,59228.05,52939.038571428566
36,59228.05,53254.13999999999
37,59228.05,53254.13999999999
38,59228.05,53254.13999999999
39,59228.05,53254.13999999999
40,59228.05,53254.13999999999
41,59228.05,53470.25059736827
42,59228.05,53470.25059736827
43,59228.05,53470.25059736827
44,59228.05,53490.149999999994
45,59228.05,53490.149999999994
46,59228.05,53593.42095962073
47,59228.05,53604.10999999997
48,59228.05,53604.10999999997
49,59228.05,53848.57199999999
50,59228.05,53848.57199999999
51,59228.05,53888.096672240295
52,59228.05,53902.5198646695
53,59228.05,53943.39141028932
54,59228.05,53943.39141028932
55,59228.05,54122.53999999998
56,59228.05,54122.53999999998
57,59228.05,54203.33999999999
58,59228.05,54203.33999999999
59,59228.05,54343.15604838707
60,59228.05,54343.15604838707
61,59228.05,54343.15604838707
62,59228.05,54343.15604838707
63,59228.05,54370.41999999999
64,59228.05,54370.41999999999
65,59228.05,54430.45993137681
66,59228.05,54430.45993137681
67,59228.05,54430.45993137681
68,59228.05,54472.54998820071
69,59228.05,54472.54998820071
70,59228.05,54472.54998820071
71,59228.05,54580.66046485345
72,59228.05,54580.66046485345
73,59228.05,54653.89199999995
74,59228.05,54653.89199999995
75,59228.05,54699.08999999999
76,59228.05,54699.08999999999
77,59228.05,54699.08999999999
78,59228.05,54699.08999999999
79,59228.05,54699.08999999999
80,59228.05,54705.40999999998
81,59228.05,54756.609999999986
82,59228.05,54825.73999999995
83,59228.05,54825.73999999995
84,59228.05,54825.73999999995
85,59228.05,54825.73999999995
86,59228.05,54903.75769230768
87,59228.05,54940.88605769229
88,59228.05,55116.409988126725
89,59228.05,55116.409988126725
90,59228.05,55116.409988126725
