iteration,hub upper bound,hub lower bound,spoke bound
1,,,
2,inf,46331.87,46331.87
3,inf,46331.87,47039.17
4,inf,47039.17,47748.03
5,inf,47039.17,48003.38999999999
6,inf,47748.03,48264.539999999986
7,inf,48264.539999999986,48807.224444266474
8,inf,48264.539999999986,49126.50999999997
9,inf,48807.224444266474,49348.70999999996
10,inf,49126.50999999997,49488.20999999999
11,inf,49348.70999999996,49636.874886898804
12,inf,49488.20999999999,49962.36
13,inf,49636.874886898804,50069.84
14,inf,49962.36,50074.329999999994
15,inf,50069.84,50362.749999999985
16,inf,50074.329999999994,50648.09
17,59803.07,50362.749999999985,50774.479999999996
18,59803.07,50648.09,51081.17
19,59803.07,50774.479999999996,51210.52
20,59803.07,51081.17,51123.64870967742
21,59803.07,51210.52,51463.6736115071
22,59803.07,51210.52,51357.26
23,59803.07,51463.6736115071,51594.6653230769
24,59803.07,51463.6736115071,51540.85999999997
25,59803.07,51594.6653230769,51598.21999999999
26,59803.07,51594.6653230769,51700.649999999994
27,59803.07,51598.21999999999,51943.96999999999
28,59803.07,51943.96999999999,52339.41999999998
29,59803.07,51943.96999999999,52306.30815675334
30,59803.07,52339.41999999998,52395.95304048205
31,59803.07,52339.41999999998,52563.85002901227
32,59803.07,52395.95304048205,52591.83999999998
33,59228.05,52563.85002901227,52528.85621091128
34,59228.05,52591.83999999998,52816.159999999974
35,59228.05,52591.83999999998,52833.10105263152
36,59228.05,52816.159999999974,52838.13714285713
37,59228.05,52833.10105263152,52764.37999891996
38,59228.05,52838.13714285713,52828.33755737567
39,59228.05,52838.13714285713,53078.789999999986
40,59228.05,53078.789999999986,53323.11999999995
41,59228.05,53078.789999999986,53382.79995322837
42,59228.05,53323.11999999995,53322.01989394998
43,59228.05,53382.79995322837,53182.79999999999
44,59228.05,53382.79995322837,53185.47999999999
45,59228.05,53382.79995322837,53200.99999999991
46,59228.05,53382.79995322837,53229.55726551041
47,59228.05,53382.79995322837,53191.58999999995
48,59228.05,53382.79995322837,53547.26999999999
49,59228.05,53547.26999999999,53392.00949245668
50,59228.05,53547.26999999999,53752.54112903223
51,59228.05,53547.26999999999,53788.899999999965
52,59228.05,53752.54112903223,53516.48999999999
53,59228.05,53788.899999999965,53762.72999999998
54,59228.05,53788.899999999965,53797.24719406221
55,59228.05,53788.899999999965,53759.82999999999
56,59228.05,53797.24719406221,53871.999999999985
57,59228.05,53797.24719406221,54039.33999999999
58,59228.05,53871.999999999985,53924.83999999994
59,59228.05,54039.33999999999,54053.129999999976
60,59228.05,54039.33999999999,54002.729999999974
61,59228.05,54053.129999999976,53669.37999999997
62,59228.05,54053.129999999976,53849.61999999998
63,59228.05,54053.129999999976,54017.28999999994
64,59228.05,54053.129999999976,54226.59000742053
65,59228.05,54053.129999999976,54143.25000598813
66,59228.05,54226.59000742053,54185.019990943496
67,59228.05,54226.59000742053,54304.45999435524
68,59228.05,54226.59000742053,54178.79999159459
69,59228.05,54304.45999435524,54392.81287189381
70,59228.05,54304.45999435524,54136.119981376396
71,59228.05,54392.81287189381,54301.8200077021
72,59228.05,54392.81287189381,54573.6800226026
73,59228.05,54573.6800226026,54561.23001395407
74,59228.05,54573.6800226026,54417.49001039518
75,59228.05,54573.6800226026,54393.9722542502
76,59228.05,54573.6800226026,54376.80251210187
77,59228.05,54573.6800226026,54556.37002668227
78,59228.05,54573.6800226026,54450.87333732783
79,59228.05,54573.6800226026,54547.77810552844
80,59228.05,54573.6800226026,54771.45998104373
81,59228.05,54573.6800226026,54702.399861525075
82,59228.05,54771.45998104373,54617.940013092004
83,59228.05,54771.45998104373,54622.96002374735
84,59228.05,54771.45998104373,54679.45946430963
85,59228.05,54771.45998104373,54528.325403407114
86,59228.05,54771.45998104373,54969.230006748956
87,59228.05,54771.45998104373,54815.320016099235
88,59228.05,54969.230006748956,54765.369268120725
89,59228.05,54969.230006748956,54794.94309044865
90,59228.05,54969.230006748956,54822.14002018481
91,59228.05,54969.230006748956,54854.49998040583
92,59228.05,54969.230006748956,54573.77002757039
93,59228.05,54969.230006748956,54747.17995322381
94,59228.05,54969.230006748956,54578.97992357618
95,59228.05,54969.230006748956,55001.52004763097
96,59228.05,54969.230006748956,55077.39001365044
97,59228.05,55001.52004763097,54959.18051531031
98,59228.05,55077.39001365044,55062.169997871126
99,59228.05,55077.39001365044,54968.16000468332
100,59228.05,55077.39001365044,55174.229986033264
101,59228.05,55077.39001365044,55190.72002093515
102,59228.05,55174.229986033264,55055.689951068845
103,59228.05,55190.72002093515,55361.65937618921
104,59228.05,55190.72002093515,55217.12001471221
105,59228.05,55361.65937618921,54979.95916883811
106,59228.05,55361.65937618921,54990.909143406905
107,59228.05,55361.65937618921,55170.46999694002
108,59228.05,55361.65937618921,55030.74993546943
109,59228.05,55361.65937618921,55153.02000956865
110,59228.05,55361.65937618921,55297.70000028453
111,59228.05,55361.65937618921,55277.019997027695
112,59228.05,55361.65937618921,55310.093651329975
113,59228.05,55361.65937618921,55215.7399989916
114,59228.05,55361.65937618921,55539.12067835719
115,59228.05,55361.65937618921,55443.01000475586
116,59228.05,55539.12067835719,55402.49983370054
117,59228.05,55539.12067835719,55280.75001951859
118,59228.05,55539.12067835719,55265.05706347329
119,59228.05,55539.12067835719,55664.939990501385
120,59228.05,55539.12067835719,55604.027803040255
121,59228.05,55664.939990501385,55521.55333537001
122,59228.05,55664.939990501385,55810.26998815034
123,59228.05,55664.939990501385,55492.17996636224
124,59228.05,55810.26998815034,55449.71462278631
125,59228.05,55810.26998815034,55777.921211898596
126,59228.05,55810.26998815034,55651.05393898698
127,59228.05,55810.26998815034,55694.42403906078
128,59228.05,55810.26998815034,55850.09994647539
129,59228.05,55810.26998815034,55544.72424362572
130,59228.05,55850.09994647539,55559.81003606726
131,59228.05,55850.09994647539,55490.98181220511
132,59228.05,55850.09994647539,55867.11002211354
133,59228.05,55867.11002211354,55681.2100299322
134,59228.05,55867.11002211354,55638.0192616183
135,59228.05,55867.11002211354,55777.19999422979
136,59228.05,55867.11002211354,55609.05002746872
137,59228.05,55867.11002211354,55658.98000851261
138,59228.05,55867.11002211354,55851.02987724435
139,59228.05,55867.11002211354,55475.68681768449
140,59228.05,55867.11002211354,55980.140026361296
141,59228.05,55867.11002211354,55850.07213882886
142,59228.05,55980.140026361296,56170.140033581374
143,59228.05,55980.140026361296,56063.07003655273
144,59228.05,56170.140033581374,55857.039994946565
145,59228.05,56170.140033581374,55956.81000880778
146,59228.05,56170.140033581374,56020.00001344263
147,59228.05,56170.140033581374,56095.1400062188
148,59228.05,56170.140033581374,55830.839930569484
149,59228.05,56170.140033581374,55837.539974084284
150,59228.05,56170.140033581374,55811.148050072756
151,59228.05,56170.140033581374,56067.389977929735
152,59228.05,56170.140033581374,56194.59655123951
153,59228.05,56194.59655123951,56051.87000417565
154,59228.05,56194.59655123951,55992.9409009767
155,59228.05,56194.59655123951,55924.0599907608
156,59228.05,56194.59655123951,56233.44998583622
157,59228.05,56194.59655123951,56071.84000326379
158,59228.05,56233.44998583622,56190.95003734889
159,59228.05,56233.44998583622,56207.55998959574
160,59228.05,56233.44998583622,56187.480002977754
161,59228.05,56233.44998583622,56085.34002662294
162,59228.05,56233.44998583622,56268.85997088754
163,59228.05,56233.44998583622,56218.45000443636
164,59228.05,56268.85997088754,56127.930490445
165,59228.05,56268.85997088754,56350.760001363786
166,59228.05,56350.760001363786,56274.894654750104
167,59228.05,56350.760001363786,56312.199998266515
168,59228.05,56350.760001363786,56149.42998984692
169,59228.05,56350.760001363786,56328.195679358
170,59228.05,56350.760001363786,56312.66999878438
171,59228.05,56350.760001363786,56196.56993006525
172,59228.05,56350.760001363786,56396.05530641481
173,59228.05,56350.760001363786,56260.660013805995
174,59228.05,56396.05530641481,56213.24819178269
175,59228.05,56396.05530641481,56258.44997786264
176,59228.05,56396.05530641481,56356.65844059401
177,59228.05,56396.05530641481,56336.78000723465
178,59228.05,56396.05530641481,56282.750020691696
179,59228.05,56396.05530641481,56412.02123996586
180,59228.05,56396.05530641481,56391.43998092549
181,59228.05,56412.02123996586,56611.2000056879
182,59228.05,56611.2000056879,56599.64500639451
183,59228.05,56611.2000056879,56543.146642584004
184,59228.05,56611.2000056879,56573.89996966843
185,59228.05,56611.2000056879,56558.50000292343
186,59228.05,56611.2000056879,56663.811442165
187,0.0,0.0,56438.76244661736
