iteration,hub upper bound,hub lower bound
0,inf,-inf
1,inf,46331.87
2,inf,46331.87
3,inf,47039.17
4,inf,47039.17
5,inf,47748.03
6,inf,48264.539999999986
7,inf,48264.539999999986
8,inf,48807.224444266474
9,inf,49126.50999999997
10,inf,49348.70999999996
11,inf,49488.20999999999
12,inf,49636.874886898804
13,inf,49962.36
14,inf,50069.84
15,inf,50074.329999999994
16,59803.07,50362.749999999985
17,59803.07,50648.09
18,59803.07,50774.479999999996
19,59803.07,51081.17
20,59803.07,51210.52
21,59803.07,51210.52
22,59803.07,51463.6736115071
23,59803.07,51463.6736115071
24,59803.07,51594.6653230769
25,59803.07,51594.6653230769
26,59803.07,51598.21999999999
27,59803.07,51700.649999999994
28,59803.07,51943.96999999999
29,59803.07,51943.96999999999
30,59803.07,52339.41999999998
31,59803.07,52339.41999999998
32,59803.07,52395.95304048205
33,59228.05,52563.85002901227
34,59228.05,52591.83999999998
35,59228.05,52591.83999999998
36,59228.05,52816.159999999974
37,59228.05,52833.10105263152
38,59228.05,52838.13714285713
39,59228.05,52838.13714285713
40,59228.05,52838.13714285713
41,59228.05,53078.789999999986
42,59228.05,53078.789999999986
43,59228.05,53323.11999999995
44,59228.05,53382.79995322837
45,59228.05,53382.79995322837
46,59228.05,53382.79995322837
47,59228.05,53382.79995322837
48,59228.05,53382.79995322837
49,59228.05,53382.79995322837
50,59228.05,53382.79995322837
51,59228.05,53547.26999999999
52,59228.05,53547.26999999999
53,59228.05,53547.26999999999
54,59228.05,53752.54112903223
55,59228.05,53788.899999999965
56,59228.05,53788.899999999965
57,59228.05,53788.899999999965
58,59228.05,53797.24719406221
59,59228.05,53797.24719406221
60,59228.05,53871.999999999985
61,59228.05,54039.33999999999
62,59228.05,54039.33999999999
63,59228.05,54053.129999999976
64,59228.05,54053.129999999976
65,59228.05,54053.129999999976
66,59228.05,54053.129999999976
67,59228.05,54053.129999999976
68,59228.05,54053.129999999976
69,59228.05,54226.59000742053
70,59228.05,54226.59000742053
71,59228.05,54226.59000742053
72,59228.05,54304.45999435524
73,59228.05,54304.45999435524
74,59228.05,54392.81287189381
75,59228.05,54392.81287189381
76,59228.05,54392.81287189381
77,59228.05,54573.6800226026
78,59228.05,54573.6800226026
79,59228.05,54573.6800226026
80,59228.05,54573.6800226026
81,59228.05,54573.6800226026
82,59228.05,54573.6800226026
83,59228.05,54573.6800226026
84,59228.05,54573.6800226026
85,59228.05,54573.6800226026
86,59228.05,54771.45998104373
87,59228.05,54771.45998104373
88,59228.05,54771.45998104373
89,59228.05,54771.45998104373
90,59228.05,54771.45998104373
