iteration,hub upper bound,hub lower bound,spoke bound
1,,,
2,inf,69814.39,69814.39
3,inf,69814.39,73816.03
4,inf,73816.03,80988.12
5,inf,80988.12,80759.6
6,inf,80988.12,83972.71
7,inf,83972.71,81386.38
8,inf,83972.71,85128.76
9,inf,85128.76,89626.69
10,inf,89626.69,89834.02999999998
11,inf,89834.02999999998,88533.95999999998
12,inf,89834.02999999998,91381.46999999999
13,inf,91381.46999999999,91353.73999999998
14,inf,91381.46999999999,92538.76999999997
15,inf,92538.76999999997,92710.70999999998
16,inf,92710.70999999998,96351.02999999997
17,inf,96351.02999999997,93366.08999999997
18,inf,96351.02999999997,98062.12999999996
19,inf,98062.12999999996,92637.45999999996
20,inf,98062.12999999996,97410.52999999997
21,inf,98062.12999999996,95318.75999999997
22,inf,98062.12999999996,95672.57999999996
23,inf,98062.12999999996,95115.34999999996
24,inf,98062.12999999996,100496.75999999995
25,inf,100496.75999999995,97678.08999999995
26,inf,100496.75999999995,100131.45999999995
27,inf,100496.75999999995,97675.76999999995
28,inf,100496.75999999995,98981.37999999995
29,inf,100496.75999999995,100275.14887964423
30,inf,100496.75999999995,99751.95655738052
31,inf,100496.75999999995,100346.7435133653
32,inf,100496.75999999995,97662.02999999996
33,inf,100496.75999999995,99244.79999999994
34,inf,100496.75999999995,99697.88999999994
35,inf,100496.75999999995,102590.04333333533
36,inf,102590.04333333533,102551.46999999994
37,inf,102590.04333333533,103995.80999999994
38,inf,103995.80999999994,100847.39999999994
39,inf,103995.80999999994,101893.40999999995
40,inf,103995.80999999994,100352.70999999993
41,inf,103995.80999999994,103114.42999999992
42,inf,103995.80999999994,104372.46999999994
43,inf,104372.46999999994,102498.16999999994
44,inf,104372.46999999994,103138.34999999993
45,inf,104372.46999999994,104014.40999999993
46,inf,104372.46999999994,104197.32999999991
47,inf,104372.46999999994,102782.82999999993
48,inf,104372.46999999994,103551.86999999992
49,inf,104372.46999999994,101418.18999999992
50,inf,104372.46999999994,102062.54999999992
