iteration,hub abs. gap,hub rel. gap
0,inf,inf
1,inf,inf
2,inf,inf
3,inf,inf
4,inf,inf
5,inf,inf
6,inf,inf
7,inf,inf
8,inf,inf
9,inf,inf
10,inf,inf
11,inf,inf
12,inf,inf
13,inf,inf
14,inf,inf
15,inf,inf
16,inf,inf
17,inf,inf
18,inf,inf
19,inf,inf
20,inf,inf
21,inf,inf
22,inf,inf
23,inf,inf
24,inf,inf
25,inf,inf
26,inf,inf
27,inf,inf
28,inf,inf
29,inf,inf
30,inf,inf
31,inf,inf
32,inf,inf
33,inf,inf
34,inf,inf
35,inf,inf
36,inf,inf
37,inf,inf
38,inf,inf
39,inf,inf
40,inf,inf
41,inf,inf
42,inf,inf
43,inf,inf
44,inf,inf
45,inf,inf
46,inf,inf
47,inf,inf
48,inf,inf
49,inf,inf
50,inf,inf
51,inf,inf
52,inf,inf
53,inf,inf
54,inf,inf
55,inf,inf
56,inf,inf
57,inf,inf
58,inf,inf
59,inf,inf
60,inf,inf
61,inf,inf
62,inf,inf
63,inf,inf
64,12451.350000000064,0.11929726296599162
65,12451.350000000064,0.11929726296599162
66,12451.350000000064,0.11929726296599162
67,12451.350000000064,0.11929726296599162
68,12451.350000000064,0.11929726296599162
69,12451.350000000064,0.11929726296599162
70,12451.350000000064,0.11929726296599162
71,12451.350000000064,0.11929726296599162
72,12451.350000000064,0.11929726296599162
73,12451.350000000064,0.11929726296599162
74,12451.350000000064,0.11929726296599162
75,12451.350000000064,0.11929726296599162
76,12451.350000000064,0.11929726296599162
77,12451.350000000064,0.11929726296599162
78,12451.350000000064,0.11929726296599162
79,12451.350000000064,0.11929726296599162
80,12451.350000000064,0.11929726296599162
81,12451.350000000064,0.11929726296599162
82,12451.350000000064,0.11929726296599162
83,12451.350000000064,0.11929726296599162
84,12451.350000000064,0.11929726296599162
85,12451.350000000064,0.11929726296599162
86,12451.350000000064,0.11929726296599162
87,12120.810000000129,0.11576372064184347
88,12120.810000000129,0.11576372064184347
89,12120.810000000129,0.11576372064184347
90,12120.810000000129,0.11576372064184347
91,12120.810000000129,0.11576372064184347
92,11849.870000000155,0.11288391072261425
93,11407.940000000133,0.1082184202228369
94,11407.940000000133,0.1082184202228369
95,11407.940000000133,0.1082184202228369
96,11407.940000000133,0.1082184202228369
97,11407.940000000133,0.1082184202228369
98,11407.940000000133,0.1082184202228369
99,11407.940000000133,0.1082184202228369
100,11407.940000000133,0.1082184202228369
101,11407.940000000133,0.1082184202228369
102,11407.940000000133,0.1082184202228369
103,11407.940000000133,0.1082184202228369
104,11407.940000000133,0.1082184202228369
105,11407.940000000133,0.1082184202228369
106,11407.940000000133,0.1082184202228369
107,11407.940000000133,0.1082184202228369
108,11407.940000000133,0.1082184202228369
109,11407.940000000133,0.1082184202228369
110,11407.940000000133,0.1082184202228369
111,11407.940000000133,0.1082184202228369
112,11407.940000000133,0.1082184202228369
113,11407.940000000133,0.1082184202228369
114,11407.940000000133,0.1082184202228369
115,11407.940000000133,0.1082184202228369
116,11407.940000000133,0.1082184202228369
117,11407.940000000133,0.1082184202228369
118,11407.940000000133,0.1082184202228369
119,11407.940000000133,0.1082184202228369
120,11407.940000000133,0.1082184202228369
121,11407.940000000133,0.1082184202228369
122,11407.940000000133,0.1082184202228369
123,11407.940000000133,0.1082184202228369
124,11407.940000000133,0.1082184202228369
125,11216.74000000015,0.10621200775554221
126,11216.74000000015,0.10621200775554221
127,11216.74000000015,0.10621200775554221
128,11216.74000000015,0.10621200775554221
129,11216.74000000015,0.10621200775554221
130,11216.74000000015,0.10621200775554221
131,11216.74000000015,0.10621200775554221
132,11216.74000000015,0.10621200775554221
133,11216.74000000015,0.10621200775554221
134,11216.74000000015,0.10621200775554221
135,11216.74000000015,0.10621200775554221
136,11216.74000000015,0.10621200775554221
137,11216.74000000015,0.10621200775554221
138,11216.74000000015,0.10621200775554221
139,11216.74000000015,0.10621200775554221
140,11216.74000000015,0.10621200775554221
141,11216.74000000015,0.10621200775554221
142,11216.74000000015,0.10621200775554221
143,11216.74000000015,0.10621200775554221
144,11216.74000000015,0.10621200775554221
145,11216.74000000015,0.10621200775554221
146,11216.74000000015,0.10621200775554221
147,11216.74000000015,0.10621200775554221
148,11216.74000000015,0.10621200775554221
149,11216.74000000015,0.10621200775554221
150,11216.74000000015,0.10621200775554221
151,11216.74000000015,0.10621200775554221
152,11216.74000000015,0.10621200775554221
153,11216.74000000015,0.10621200775554221
154,11216.74000000015,0.10621200775554221
155,11216.74000000015,0.10621200775554221
156,11216.74000000015,0.10621200775554221
157,11216.74000000015,0.10621200775554221
158,11216.74000000015,0.10621200775554221
159,11216.74000000015,0.10621200775554221
160,10341.950000000186,0.09712404562391892
161,10341.950000000186,0.09712404562391892
162,10341.950000000186,0.09712404562391892
163,10341.950000000186,0.09712404562391892
164,10341.950000000186,0.09712404562391892
165,10341.950000000186,0.09712404562391892
166,10341.950000000186,0.09712404562391892
167,10341.950000000186,0.09712404562391892
168,10341.950000000186,0.09712404562391892
169,10341.950000000186,0.09712404562391892
170,10341.950000000186,0.09712404562391892
171,10341.950000000186,0.09712404562391892
172,10341.950000000186,0.09712404562391892
173,10341.950000000186,0.09712404562391892
174,10341.950000000186,0.09712404562391892
175,10341.950000000186,0.09712404562391892
176,10341.950000000186,0.09712404562391892
177,10341.950000000186,0.09712404562391892
178,10341.950000000186,0.09712404562391892
179,10341.950000000186,0.09712404562391892
180,10341.950000000186,0.09712404562391892
181,10341.950000000186,0.09712404562391892
182,10341.950000000186,0.09712404562391892
183,10341.950000000186,0.09712404562391892
184,10341.950000000186,0.09712404562391892
185,10341.950000000186,0.09712404562391892
186,10341.950000000186,0.09712404562391892
187,10341.950000000186,0.09712404562391892
188,10341.950000000186,0.09712404562391892
189,10341.950000000186,0.09712404562391892
190,10341.950000000186,0.09712404562391892
191,10341.950000000186,0.09712404562391892
192,10341.950000000186,0.09712404562391892
193,10341.950000000186,0.09712404562391892
194,10341.950000000186,0.09712404562391892
195,10341.950000000186,0.09712404562391892
196,10341.950000000186,0.09712404562391892
197,10341.950000000186,0.09712404562391892
198,10341.950000000186,0.09712404562391892
199,10341.950000000186,0.09712404562391892
200,10341.950000000186,0.09712404562391892
201,10341.950000000186,0.09712404562391892
202,10341.950000000186,0.09712404562391892
203,10341.950000000186,0.09712404562391892
204,10341.950000000186,0.09712404562391892
205,10341.950000000186,0.09712404562391892
206,10341.950000000186,0.09712404562391892
207,10341.950000000186,0.09712404562391892
208,10341.950000000186,0.09712404562391892
209,10341.950000000186,0.09712404562391892
210,10341.950000000186,0.09712404562391892
211,10341.950000000186,0.09712404562391892
212,10341.950000000186,0.09712404562391892
213,10341.950000000186,0.09712404562391892
214,10341.950000000186,0.09712404562391892
215,10341.950000000186,0.09712404562391892
216,10341.950000000186,0.09712404562391892
217,10341.950000000186,0.09712404562391892
218,10341.950000000186,0.09712404562391892
219,10341.950000000186,0.09712404562391892
220,10341.950000000186,0.09712404562391892
221,10341.950000000186,0.09712404562391892
222,10341.950000000186,0.09712404562391892
223,10341.950000000186,0.09712404562391892
224,10341.950000000186,0.09712404562391892
225,10341.950000000186,0.09712404562391892
226,10341.950000000186,0.09712404562391892
227,10341.950000000186,0.09712404562391892
228,10341.950000000186,0.09712404562391892
229,10341.950000000186,0.09712404562391892
230,10341.950000000186,0.09712404562391892
231,10341.950000000186,0.09712404562391892
232,10341.950000000186,0.09712404562391892
233,10341.950000000186,0.09712404562391892
234,10341.950000000186,0.09712404562391892
235,10341.950000000186,0.09712404562391892
236,10341.950000000186,0.09712404562391892
237,10341.950000000186,0.09712404562391892
238,10341.950000000186,0.09712404562391892
239,10341.950000000186,0.09712404562391892
240,10341.950000000186,0.09712404562391892
241,10341.950000000186,0.09712404562391892
242,10341.950000000186,0.09712404562391892
243,10341.950000000186,0.09712404562391892
244,10341.950000000186,0.09712404562391892
245,10341.950000000186,0.09712404562391892
246,10341.950000000186,0.09712404562391892
247,10341.950000000186,0.09712404562391892
248,10341.950000000186,0.09712404562391892
249,10341.950000000186,0.09712404562391892
250,10341.950000000186,0.09712404562391892
251,10341.950000000186,0.09712404562391892
252,10341.950000000186,0.09712404562391892
253,10341.950000000186,0.09712404562391892
254,10341.950000000186,0.09712404562391892
255,10341.950000000186,0.09712404562391892
256,10341.950000000186,0.09712404562391892
257,10341.950000000186,0.09712404562391892
258,10341.950000000186,0.09712404562391892
259,10341.950000000186,0.09712404562391892
260,10341.950000000186,0.09712404562391892
261,10341.950000000186,0.09712404562391892
262,10341.950000000186,0.09712404562391892
263,10341.950000000186,0.09712404562391892
264,10341.950000000186,0.09712404562391892
265,10341.950000000186,0.09712404562391892
266,10341.950000000186,0.09712404562391892
267,10341.950000000186,0.09712404562391892
268,10341.950000000186,0.09712404562391892
269,10341.950000000186,0.09712404562391892
270,10341.950000000186,0.09712404562391892
271,10341.950000000186,0.09712404562391892
272,10341.950000000186,0.09712404562391892
273,10341.950000000186,0.09712404562391892
274,10341.950000000186,0.09712404562391892
275,10341.950000000186,0.09712404562391892
276,10341.950000000186,0.09712404562391892
277,10341.950000000186,0.09712404562391892
278,10341.950000000186,0.09712404562391892
279,10341.950000000186,0.09712404562391892
