iteration,hub upper bound,hub lower bound,spoke bound
1,,,
2,inf,69814.39,69814.39
3,inf,69814.39,73444.56
4,inf,73444.56,76514.3
5,inf,76514.3,78855.71
6,inf,76514.3,80495.08
7,inf,80495.08,82637.86
8,inf,82637.86,83417.61
9,inf,83417.61,85184.06
10,inf,85184.06,87435.92
11,inf,87435.92,88172.89
12,inf,88172.89,88772.28
13,inf,88772.28,89406.31000000001
14,inf,89406.31000000001,91253.86
15,inf,91253.86,90400.51000000001
16,inf,91253.86,92359.6
17,inf,92359.6,92651.02500000001
18,inf,92359.6,92638.43
19,inf,92638.43,93823.19
20,inf,93823.19,94188.52434782608
21,inf,94188.52434782608,93663.07
22,inf,94188.52434782608,95022.84
23,inf,95022.84,95796.76999999999
24,inf,95022.84,95407.53
25,inf,95407.53,96361.51
26,inf,96361.51,96380.54
27,inf,96380.54,96820.28
28,inf,96820.28,97499.46999999999
29,inf,97499.46999999999,97056.33999999998
30,inf,97499.46999999999,97874.93
31,inf,97874.93,97814.23
32,inf,97874.93,98153.18999999999
33,inf,98153.18999999999,98909.27000499543
34,inf,98909.27000499543,98350.9599911115
35,inf,98909.27000499543,99470.27000898226
36,inf,99470.27000898226,99530.96998328518
37,inf,99530.96998328518,99478.45998126657
38,inf,99530.96998328518,100028.30998359827
39,inf,100028.30998359827,99967.68001149158
40,inf,100028.30998359827,100262.2808138162
41,inf,100262.2808138162,100478.66000683443
42,inf,100478.66000683443,101081.17952211211
43,inf,101081.17952211211,101044.87000040401
44,inf,101081.17952211211,101550.62998535139
45,inf,101550.62998535139,101269.36000322654
46,inf,101550.62998535139,101296.15999751787
47,inf,101550.62998535139,102429.87001113157
48,inf,102429.87001113157,102539.79992342716
49,inf,102539.79992342716,102504.13000795357
50,inf,102539.79992342716,103107.49998799281
51,inf,103107.49998799281,102374.29000305639
52,inf,103107.49998799281,103465.80998554373
53,inf,103465.80998554373,102808.55001120457
54,inf,103465.80998554373,102784.00998666936
55,inf,103465.80998554373,103222.11910287647
