iteration,hub upper bound,hub lower bound
0,inf,-inf
1,inf,69814.39
2,inf,69814.39
3,inf,73444.56
4,inf,76514.3
5,inf,76514.3
6,inf,80495.08
7,inf,82637.86
8,inf,83417.61
9,inf,85184.06
10,inf,87435.92
11,inf,88172.89
12,inf,88772.28
13,inf,89406.31000000001
14,inf,91253.86
15,inf,91253.86
16,inf,92359.6
17,inf,92359.6
18,inf,92638.43
19,inf,93823.19
20,inf,94188.52434782608
21,inf,94188.52434782608
22,inf,95022.84
23,inf,95022.84
24,inf,95407.53
25,inf,96361.51
26,inf,96380.54
27,inf,96820.28
28,inf,97499.46999999999
29,inf,97499.46999999999
30,inf,97874.93
31,inf,97874.93
32,inf,98153.18999999999
33,inf,98909.27000499543
34,inf,98909.27000499543
35,inf,99470.27000898226
36,inf,99530.96998328518
37,inf,99530.96998328518
38,inf,100028.30998359827
39,inf,100028.30998359827
40,inf,100262.2808138162
41,inf,100478.66000683443
42,inf,101081.17952211211
43,inf,101081.17952211211
44,inf,101550.62998535139
45,inf,101550.62998535139
46,inf,101550.62998535139
47,inf,102429.87001113157
48,inf,102539.79992342716
49,inf,102539.79992342716
50,inf,103107.49998799281
51,inf,103107.49998799281
52,inf,103465.80998554373
53,inf,103465.80998554373
54,inf,103465.80998554373
55,inf,103465.80998554373
56,inf,103647.40998389339
57,inf,103769.99001022987
58,inf,103994.15998621925
59,inf,104199.68094148426
60,inf,104624.94001465384
61,inf,104624.94001465384
62,inf,104922.35001143519
63,inf,104922.35001143519
64,inf,104947.6700171064
65,inf,104947.6700171064
66,inf,105044.65001245541
67,inf,105219.51000206912
68,inf,105219.51000206912
69,133778.31,105957.68001260409
70,129960.6,105957.68001260409
71,129960.6,105957.68001260409
72,129960.6,105957.68001260409
73,129960.6,106016.98530332677
74,129960.6,106344.4165824073
75,129960.6,106628.99001115636
76,129960.6,106628.99001115636
77,129960.6,106628.99001115636
78,129960.6,106684.15890120053
79,129960.6,106890.28000180871
80,129960.6,107013.92001201877
81,129960.6,107127.18999218714
82,129960.6,107127.18999218714
83,129960.6,107164.43998414667
84,129960.6,107164.43998414667
85,129960.6,107946.26999076658
86,116823.82,107946.26999076658
87,116823.82,108076.33000280746
88,116823.82,108076.33000280746
89,116823.82,108076.33000280746
90,116823.82,108076.33000280746
91,116823.82,108076.33000280746
92,116823.82,108322.3800128041
93,116823.82,108322.3800128041
94,116823.82,108557.32001274047
95,116823.82,108629.93000963211
96,116823.82,108737.13001338561
97,116823.82,108737.13001338561
98,116823.82,108737.13001338561
99,116823.82,108737.13001338561
100,116823.82,109340.02783299783
101,116823.82,109340.02783299783
102,116823.82,109340.02783299783
103,116823.82,109340.02783299783
104,116823.82,109340.02783299783
105,116823.82,109340.02783299783
106,116823.82,109340.02783299783
107,116823.82,109340.02783299783
108,116823.82,109646.6199974117
109,116823.82,109646.6199974117
110,116823.82,109646.6199974117
111,116823.82,109972.40822543038
112,116823.82,109972.40822543038
113,116823.82,109972.40822543038
114,116823.82,110433.15001065815
115,116823.82,110433.15001065815
116,116823.82,110433.15001065815
117,116823.82,110433.15001065815
118,116823.82,110433.15001065815
119,116823.82,110433.15001065815
120,116823.82,110794.72999667839
121,116823.82,110979.97000915378
122,116823.82,110979.97000915378
123,116823.82,110992.26000966491
