iteration,"x[1,2]","x[1,8]","x[2,7]","x[2,8]","x[3,0]","x[3,4]","x[3,9]","x[4,5]","x[4,8]","x[6,0]","x[6,5]","x[6,7]","x[6,8]","x[6,9]","x[7,2]","x[8,2]","x[8,5]","x[9,0]","x[9,8]"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.3,0.11000000000000001,0.61,0.02,0.09000000000000001,0.04,0.35000000000000003,0.0,0.47,0.3500000000000001,0.0,0.0,0.65,0.9099999999999999,1.0
2,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.35,0.11000000000000001,0.54,0.04,0.07,0.07,0.35,0.0,0.51,0.25,0.0,0.0,0.7000000000000001,0.9299999999999999,1.0
3,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.49,0.13,0.4,0.02,0.11000000000000001,0.09000000000000001,0.32999999999999996,0.0,0.76,0.04,0.0,0.0,0.6900000000000001,1.0,0.98
4,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.42000000000000004,0.13,0.68,0.04,0.09000000000000001,0.14,0.46,0.0,0.67,0.16,0.0,0.0,0.5700000000000001,0.7900000000000001,0.98
5,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.5400000000000001,0.27,0.26,0.09,0.18000000000000002,0.04,0.25,0.0,0.68,0.21000000000000002,0.0,0.0,0.7000000000000001,0.95,0.9299999999999999
6,0.16000000000000003,1.0,0.0,0.16000000000000003,0.37,0.23,0.49,0.09000000000000001,0.14,0.16,0.38000000000000006,0.0,0.6099999999999999,0.21,0.0,0.0,0.5700000000000001,0.98,0.98
7,0.16000000000000003,1.0,0.0,0.16000000000000003,0.28,0.39,0.35000000000000003,0.04,0.35,0.21,0.31000000000000005,0.0,0.5700000000000001,0.19,0.0,0.0,0.6900000000000002,1.0,0.9100000000000001
8,0.16000000000000003,1.0,0.0,0.16000000000000003,0.30000000000000004,0.30000000000000004,0.51,0.11000000000000001,0.19,0.19,0.21000000000000002,0.0,0.54,0.18000000000000002,0.0,0.0,0.7700000000000001,1.0,0.9
9,0.16000000000000003,1.0,0.0,0.16000000000000003,0.51,0.19999999999999998,0.49,0.11,0.14,0.06,0.16,0.0,0.75,0.07,0.0,0.0,0.77,0.86,1.0
10,0.16000000000000003,1.0,0.0,0.16000000000000003,0.42000000000000004,0.32,0.33,0.12000000000000001,0.32,0.1,0.44000000000000006,0.0,0.6000000000000001,0.35,0.0,0.0,0.48,0.8800000000000001,0.98
11,0.32000000000000006,0.8400000000000001,0.0,0.32000000000000006,0.32000000000000006,0.44,0.42000000000000004,0.37,0.31,0.11000000000000001,0.18,0.0,0.66,0.28,0.0,0.0,0.49,0.93,0.9300000000000002
12,0.79,0.37000000000000005,0.0,0.79,0.22999999999999998,0.5,0.43,0.3,0.24,0.12000000000000001,0.18000000000000002,0.0,0.63,0.18,0.0,0.0,0.6600000000000001,1.0,0.7700000000000001
13,0.37000000000000005,0.65,0.0,0.37000000000000005,0.55,0.22,0.36,0.08,0.14,0.06,0.32,0.0,0.5800000000000001,0.33,0.0,0.0,0.6400000000000001,0.86,1.0
14,0.8400000000000001,0.30000000000000004,0.0,0.8400000000000001,0.5800000000000001,0.35,0.37,0.12000000000000001,0.32999999999999996,0.2,0.44000000000000006,0.0,0.5700000000000001,0.19,0.0,0.0,0.5,0.9099999999999999,0.9500000000000002
15,0.7300000000000001,0.27,0.0,0.7300000000000001,0.31000000000000005,0.4,0.4,0.07,0.38,0.24,0.19,0.0,0.6400000000000001,0.02,0.0,0.0,0.8300000000000001,0.98,0.88
16,0.43,0.59,0.0,0.43,0.39,0.4700000000000001,0.25,0.16,0.45000000000000007,0.3,0.28,0.0,0.6600000000000001,0.02,0.0,0.0,0.6000000000000001,1.0,0.8400000000000001
17,1.0,0.14,0.0,1.0,0.43000000000000005,0.39,0.49,0.17,0.31,0.33,0.19,0.0,0.48,0.26,0.0,0.0,0.68,0.7700000000000001,0.98
18,0.9500000000000002,0.05,0.0,0.9500000000000002,0.42000000000000004,0.37,0.56,0.26,0.30000000000000004,0.06,0.13,0.0,0.66,0.21000000000000002,0.0,0.0,0.65,0.96,0.81
19,0.9299999999999999,0.09,0.0,0.9299999999999999,0.52,0.45999999999999996,0.19999999999999998,0.04,0.44000000000000006,0.21,0.41000000000000003,0.0,0.7300000000000001,0.15,0.0,0.0,0.5700000000000001,0.81,0.8300000000000002
20,0.8300000000000002,0.17,0.0,0.8300000000000002,0.39,0.44000000000000006,0.43999999999999995,0.16,0.33,0.21,0.28,0.0,0.5,0.25,0.0,0.0,0.62,1.0,0.9100000000000001
21,0.5700000000000001,0.5,0.0,0.5700000000000001,0.38,0.41000000000000003,0.28,0.11,0.25,0.04,0.09000000000000001,0.0,0.77,0.30000000000000004,0.0,0.0,0.91,1.0,0.98
22,0.8800000000000001,0.19,0.0,0.8800000000000001,0.37,0.47000000000000003,0.37,0.09,0.45,0.19,0.04,0.0,0.68,0.22,0.0,0.0,0.8900000000000001,0.8600000000000002,0.88
23,1.0,0.0,0.0,1.0,0.36000000000000004,0.62,0.29000000000000004,0.37,0.45999999999999996,0.32999999999999996,0.35,0.0,0.41,0.16,0.0,0.0,0.34,0.9299999999999999,0.8700000000000001
24,1.0,0.0,0.0,1.0,0.26,0.43000000000000005,0.4600000000000001,0.21000000000000002,0.39000000000000007,0.37000000000000005,0.25,0.0,0.64,0.02,0.0,0.0,0.6,0.98,0.9299999999999999
25,1.0,0.0,0.0,1.0,0.4,0.45999999999999996,0.32,0.13,0.42000000000000004,0.25,0.35,0.0,0.8000000000000002,0.0,0.0,0.0,0.54,0.9500000000000002,0.9
26,1.0,0.0,0.0,1.0,0.4600000000000001,0.49000000000000005,0.37,0.09000000000000001,0.4,0.33000000000000007,0.24000000000000002,0.0,0.52,0.07,0.0,0.0,0.7600000000000001,0.89,0.8600000000000001
27,1.0,0.0,0.0,1.0,0.49,0.5,0.42000000000000004,0.2,0.27,0.30000000000000004,0.27,0.0,0.63,0.05,0.0,0.0,0.5900000000000001,0.8400000000000001,0.9600000000000002
28,1.0,0.0,0.0,1.0,0.51,0.4900000000000001,0.37,0.07,0.54,0.09000000000000001,0.44999999999999996,0.0,0.7000000000000001,0.38,0.0,0.0,0.5000000000000001,0.9500000000000002,0.8800000000000001
29,1.0,0.0,0.0,1.0,0.49000000000000005,0.44000000000000006,0.26,0.02,0.32,0.09,0.44000000000000006,0.0,0.5500000000000002,0.27999999999999997,0.0,0.0,0.5800000000000001,1.0,0.9299999999999999
30,1.0,0.0,0.0,1.0,0.5700000000000001,0.32,0.5299999999999999,0.02,0.42000000000000004,0.1,0.5,0.0,0.66,0.22,0.0,0.0,0.5700000000000001,1.0,0.9300000000000002
31,1.0,0.0,0.0,1.0,0.40000000324609053,0.6,0.1899999980502058,0.02,0.5800000000000001,0.48999999668825345,0.32999999606946373,0.0,0.4600000032460905,0.07,0.0,0.0,0.6899999966905392,0.8800000000000001,0.98
