iteration,hub upper bound,hub lower bound
0,inf,-inf
1,inf,69814.39
2,inf,73444.56
3,inf,76591.5
4,inf,79064.78892655367
5,inf,80541.23
6,inf,83750.08
7,inf,85341.6
8,inf,87259.77
9,inf,88297.09
10,inf,88500.88
11,inf,89676.61
12,inf,91839.89
13,inf,92421.29000000001
14,inf,92421.29000000001
15,inf,94321.87
16,inf,94321.87
17,inf,94555.4
18,inf,95950.0
19,inf,95950.0
20,inf,96769.79
21,inf,96769.79
22,inf,97392.64999044698
23,inf,98077.30999118183
24,inf,98404.35001273736
25,inf,98404.35001273736
26,inf,98892.81001175757
27,inf,99047.57998995707
28,inf,100219.4077590458
29,inf,100219.4077590458
30,inf,100595.19000832827
31,inf,101335.05001371715
32,inf,101335.05001371715
33,inf,101569.92999387626
34,inf,101569.92999387626
35,inf,102559.57998530305
36,inf,102976.0799955909
37,inf,103307.96001126766
38,inf,103663.11999265151
39,inf,103663.11999265151
40,inf,103995.51000832826
41,inf,103995.51000832826
42,inf,103995.51000832826
43,inf,104155.06998701768
44,inf,105013.64616854308
45,inf,105159.42998628282
46,inf,105159.42998628282
47,inf,105978.56999265151
48,inf,105978.56999265151
49,inf,106261.18999020202
50,inf,106261.18999020202
51,inf,106498.46431492707
52,inf,106498.46431492707
53,inf,106655.8200115126
54,inf,107223.56282264309
55,inf,107275.98999093687
56,inf,107275.98999093687
57,inf,107816.09999387625
58,inf,108006.29001273734
59,inf,108006.29001273734
60,inf,108006.29001273734
61,inf,108006.29001273734
62,inf,108511.11868732388
63,inf,108511.11868732388
64,inf,108511.11868732388
65,inf,109149.09001077774
66,inf,109152.160009553
67,inf,109152.160009553
68,inf,109252.70001200249
69,inf,109252.70001200249
70,inf,109373.05001028784
71,inf,109934.47000514391
72,inf,109934.47000514391
73,inf,109934.47000514391
74,inf,110081.72999240656
75,inf,110431.5899931414
76,inf,110431.5899931414
77,inf,110431.5899931414
78,inf,110787.87100713834
79,inf,110787.87100713834
80,inf,111216.99001004291
81,inf,111216.99001004291
82,inf,111216.99001004291
83,inf,111674.74001175755
84,inf,111674.74001175755
85,inf,111674.74001175755
86,inf,111674.74001175755
87,inf,111674.74001175755
88,inf,111674.74001175755
89,inf,111754.74715192024
90,inf,111754.74715192024
91,inf,112008.8900090631
92,inf,112258.46143763453
93,inf,112258.46143763453
94,inf,112334.38001126764
95,inf,112334.38001126764
96,inf,112334.38001126764
97,inf,112403.5954677727
98,inf,112403.5954677727
99,inf,112728.6705400374
100,inf,112728.6705400374
