iteration,hub upper bound,hub lower bound
0,inf,-inf
1,inf,69814.39
2,inf,69814.39
3,inf,71253.46
4,inf,72981.58
5,inf,74383.81
6,inf,75436.03
7,inf,76158.37999964089
8,inf,77010.67333401753
9,inf,78113.78000130088
10,inf,79027.41997319603
11,inf,79720.43000004739
12,inf,80464.58000008298
13,inf,81036.55000036197
14,inf,81797.32999739118
15,inf,82443.79000008167
16,inf,82901.75999769932
17,inf,83489.759997645
18,inf,84086.9199977239
19,inf,84768.11999759452
20,inf,85181.67724190773
21,inf,85535.18000052973
22,inf,85912.68692377236
23,inf,86682.6199978612
24,inf,87298.68999779777
25,inf,87913.26441973411
26,inf,88335.30142968478
27,inf,88857.50000035236
28,inf,89305.5928587195
29,inf,89953.70000138451
30,inf,90335.09000015815
31,inf,90692.40999813823
32,inf,91079.86909247747
33,inf,91476.46999824507
34,inf,91692.85000173215
35,inf,91978.09000076864
36,inf,92144.2099976178
37,inf,92464.94468920368
38,inf,92666.88000045334
39,inf,92819.24142868505
40,inf,93022.92999861483
41,inf,93164.70999914821
42,inf,93356.6499988776
43,inf,93508.99000167588
44,inf,93652.57999785217
45,inf,93841.09000154183
46,inf,94270.37999810069
47,inf,94494.71000073818
48,inf,94509.970001435
49,inf,94929.37999959444
50,inf,94929.37999959444
51,inf,95369.41999759452
52,inf,95450.3900002798
53,inf,95626.90999803148
54,inf,95726.65000040285
55,inf,95991.37000025717
56,inf,96082.14999918119
57,inf,96222.5599997372
58,inf,96477.5499163106
59,inf,96577.47999758548
60,inf,96794.39516129559
61,inf,96975.76999894626
62,inf,96975.76999894626
63,inf,97206.48636583658
64,inf,97230.63000085037
65,inf,97368.12599936053
66,inf,97625.26999829947
67,inf,97854.51999805673
68,inf,98025.09000190819
69,inf,98125.18000022962
70,inf,98125.18000022962
71,inf,98125.18000022962
72,inf,98631.31999934756
73,inf,98689.85000185388
74,inf,98689.85000185388
75,inf,98906.72000065485
76,inf,99031.83999926213
77,inf,99031.83999926213
78,inf,99164.93999842374
79,inf,99239.02999755705
80,inf,99320.35000051244
81,inf,99320.35000051244
82,inf,99604.45000160528
83,inf,99640.04999888147
84,inf,99911.79000019917
85,inf,100088.7099989158
86,inf,100088.7099989158
87,inf,100088.7099989158
88,inf,100314.85999943176
89,inf,100314.85999943176
90,inf,100517.779999279
91,inf,100542.20999963174
92,inf,100547.62000067302
93,inf,100637.90529533151
94,inf,100789.15000186554
95,inf,100879.46999974608
96,inf,100964.18999885563
97,inf,100995.20000105185
98,inf,101008.69000182148
99,inf,101315.85000180209
100,inf,101315.85000180209
101,inf,101318.51000136186
102,inf,101500.32199454053
103,inf,101661.59989639847
104,inf,101663.92999370603
105,inf,101817.11230383274
106,inf,101858.61211767023
107,inf,101858.61211767023
108,inf,102092.71998728153
109,inf,102092.71998728153
110,inf,102215.31998897839
111,inf,102215.31998897839
112,inf,102298.37000818692
113,inf,102389.82500150107
114,inf,102506.5455388567
115,inf,102783.49998968707
116,inf,102783.49998968707
117,inf,102783.49998968707
118,inf,102878.01665971409
119,inf,102878.01665971409
120,inf,103006.64593586102
121,inf,103006.64593586102
122,inf,103006.64593586102
123,inf,103174.80001012706
124,inf,103432.07998730277
125,inf,103432.07998730277
126,inf,103497.95999277051
127,inf,103497.95999277051
