iteration,"x[1,2]","x[1,8]","x[2,7]","x[2,8]","x[3,0]","x[3,4]","x[3,9]","x[4,5]","x[4,8]","x[6,0]","x[6,5]","x[6,7]","x[6,8]","x[6,9]","x[7,2]","x[8,2]","x[8,5]","x[9,0]","x[9,8]"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.3,0.11000000000000001,0.61,0.02,0.09000000000000001,0.04,0.35000000000000003,0.0,0.47,0.3500000000000001,0.0,0.0,0.65,0.9099999999999999,1.0
2,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.22999999999999998,0.11000000000000001,0.66,0.02,0.09000000000000001,0.07,0.35,0.0,0.4700000000000001,0.29000000000000004,0.0,0.0,0.7000000000000001,0.9299999999999999,1.0
3,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.27999999999999997,0.11000000000000001,0.61,0.02,0.09000000000000001,0.02,0.16000000000000003,0.0,0.66,0.18000000000000002,0.0,0.0,0.8600000000000001,0.9299999999999999,1.0
4,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.13,0.11000000000000001,0.7600000000000001,0.02,0.09000000000000001,0.1,0.09000000000000001,0.0,0.79,0.04,0.0,0.0,0.9100000000000001,1.0,1.0
5,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.18,0.10999999870571238,0.7300000000000001,0.019999998705763,0.09000000000000001,0.07,0.11000000094344047,0.0,0.8400000000000001,0.0,0.0,0.0,0.9099999999999999,1.0,1.0
6,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.30000000000000004,0.13,0.5700000000000001,0.02,0.11000000000000001,0.09000000000000001,0.21,0.0,0.7200000000000001,0.12000000000000001,0.0,0.0,0.7900000000000001,0.98,0.98
7,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.5200000000000001,0.2,0.39,0.11000000000000001,0.09000000000000001,0.02,0.19,0.0,0.7000000000000001,0.23,0.0,0.0,0.7700000000000001,0.95,0.98
8,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.49,0.11000000000000001,0.42000000000000004,0.04,0.07,0.12000000000000001,0.08,0.0,0.7500000000000001,0.11000000000000001,0.0,0.0,0.9200000000000002,1.0,1.0
9,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.44,0.11000000000000001,0.45000000000000007,0.02,0.09000000000000001,0.02,0.02,0.0,0.96,0.02,0.0,0.0,0.98,1.0,1.0
10,0.16000000000000003,0.8400000000000001,0.0,0.16000000000000003,0.5,0.13,0.39,0.04,0.09000000000000001,0.04,0.02,0.0,0.9600000000000002,0.02,0.0,0.0,0.98,0.95,0.98
11,0.16000000000000003,0.8600000000000001,0.0,0.16000000000000003,0.49,0.11000000000000001,0.45000000000000007,0.02,0.09000000000000001,0.02,0.02,0.0,0.98,0.0,0.0,0.0,0.98,0.9500000000000002,1.0
12,0.16000000000000003,0.9100000000000001,0.0,0.16000000000000003,0.42,0.29000000000000004,0.38,0.15,0.14,0.12000000000000001,0.0,0.0,0.8300000000000001,0.09000000000000001,0.0,0.0,0.91,0.95,0.8900000000000001
13,0.16000000000000003,1.0,0.0,0.16000000000000003,0.44000000000000006,0.11000000000000001,0.54,0.0,0.11000000000000001,0.04,0.04,0.0,0.96,0.0,0.0,0.0,0.98,0.91,1.0
14,0.16000000000000003,1.0,0.0,0.16000000000000003,0.4700000000000001,0.13,0.42000000000000004,0.06,0.07,0.04,0.02,0.0,0.96,0.02,0.0,0.0,0.98,0.98,0.98
15,0.16000000000000003,1.0,0.0,0.16000000000000003,0.52,0.18000000000000002,0.42000000000000004,0.07,0.11000000000000001,0.11000000000000001,0.09000000000000001,0.0,0.8400000000000001,0.05,0.0,0.0,0.8800000000000001,0.8799999999999999,0.98
16,0.16000000000000003,1.0,0.0,0.16000000000000003,0.4600000000000001,0.2,0.36,0.13,0.07,0.12000000000000001,0.04,0.0,0.8800000000000001,0.02,0.0,0.0,0.89,1.0,0.98
17,0.16000000000000003,1.0,0.0,0.16000000000000003,0.51,0.13,0.54,0.02,0.11000000000000001,0.04,0.09000000000000001,0.0,0.8900000000000001,0.0,0.0,0.0,0.9300000000000002,0.8400000000000002,0.98
18,0.16000000000000003,1.0,0.0,0.16000000000000003,0.5200000000000001,0.2,0.37,0.13,0.07,0.02,0.12000000000000001,0.0,0.8100000000000002,0.19,0.0,0.0,0.8100000000000002,0.95,0.98
19,0.16000000000000003,1.0,0.0,0.16000000000000003,0.30000000000000004,0.18000000000000002,0.59,0.09000000000000001,0.09000000000000001,0.14,0.0,0.0,0.7400000000000001,0.12000000000000001,0.0,0.0,0.9500000000000002,1.0,1.0
20,0.16000000000000003,1.0,0.0,0.16000000000000003,0.37,0.3400000000000001,0.52,0.09000000000000001,0.32000000000000006,0.02,0.25,0.0,0.7700000000000001,0.22999999999999998,0.0,0.0,0.7200000000000001,0.91,0.8400000000000001
21,0.16000000000000003,1.0,0.0,0.16000000000000003,0.21,0.30000000000000004,0.53,0.13,0.24000000000000002,0.09,0.18,0.0,0.78,0.13,0.0,0.0,0.7300000000000001,0.95,0.9
22,0.16000000000000003,1.0,0.0,0.16000000000000003,0.4,0.25,0.53,0.14,0.16000000000000003,0.09000000000000001,0.11000000000000001,0.0,0.7000000000000001,0.12000000000000001,0.0,0.0,0.79,0.98,1.0
23,0.16000000000000003,1.0,0.0,0.16000000000000003,0.32,0.32,0.43,0.18,0.19,0.09000000000000001,0.19,0.0,0.7100000000000001,0.22,0.0,0.0,0.6700000000000002,0.9500000000000002,0.98
24,0.16000000000000003,1.0,0.0,0.16000000000000003,0.5,0.2,0.5,0.06,0.14,0.09000000000000001,0.30000000000000004,0.0,0.68,0.13999999999999999,0.0,0.0,0.68,1.0,0.9299999999999999
25,0.16000000000000003,1.0,0.0,0.16000000000000003,0.36,0.2,0.53,0.02,0.18,0.07,0.33999999999999997,0.0,0.7300000000000001,0.16999999999999998,0.0,0.0,0.7300000000000001,0.86,1.0
26,0.16000000000000003,1.0,0.0,0.16000000000000003,0.5,0.25,0.43000000000000005,0.02,0.23000000000000004,0.11000000000000001,0.18000000000000002,0.0,0.75,0.07,0.0,0.0,0.8600000000000001,0.9099999999999999,0.9300000000000002
27,0.16000000000000003,1.0,0.0,0.16000000000000003,0.39000000000000007,0.33,0.35,0.14,0.24,0.09,0.07,0.0,0.76,0.19,0.0,0.0,0.8300000000000001,1.0,0.88
28,0.16000000000000003,1.0,0.0,0.16000000000000003,0.22999999999999998,0.23,0.6300000000000001,0.04,0.19,0.09000000000000001,0.19,0.0,0.7400000000000001,0.15000000000000002,0.0,0.0,0.8300000000000002,1.0,0.9299999999999999
29,0.16000000000000003,1.0,0.0,0.16000000000000003,0.14,0.24,0.7300000000000001,0.02,0.22,0.11,0.32,0.0,0.6600000000000001,0.22999999999999998,0.0,0.0,0.7200000000000001,1.0,0.96
