iteration,NumProducedFirstStage[1],NumProducedFirstStage[2],NumProducedFirstStage[3],NumProducedFirstStage[4],NumProducedFirstStage[5],NumProducedFirstStage[6],NumProducedFirstStage[7],NumProducedFirstStage[8],NumProducedFirstStage[9],NumProducedFirstStage[10],"NumUnitsCutFirstStage[1,1]","NumUnitsCutFirstStage[2,1]","NumUnitsCutFirstStage[2,2]","NumUnitsCutFirstStage[3,1]","NumUnitsCutFirstStage[3,2]","NumUnitsCutFirstStage[3,3]","NumUnitsCutFirstStage[4,1]","NumUnitsCutFirstStage[4,2]","NumUnitsCutFirstStage[4,3]","NumUnitsCutFirstStage[4,4]","NumUnitsCutFirstStage[5,1]","NumUnitsCutFirstStage[5,2]","NumUnitsCutFirstStage[5,3]","NumUnitsCutFirstStage[5,4]","NumUnitsCutFirstStage[5,5]","NumUnitsCutFirstStage[6,1]","NumUnitsCutFirstStage[6,2]","NumUnitsCutFirstStage[6,3]","NumUnitsCutFirstStage[6,4]","NumUnitsCutFirstStage[6,5]","NumUnitsCutFirstStage[6,6]","NumUnitsCutFirstStage[7,1]","NumUnitsCutFirstStage[7,2]","NumUnitsCutFirstStage[7,3]","NumUnitsCutFirstStage[7,4]","NumUnitsCutFirstStage[7,5]","NumUnitsCutFirstStage[7,6]","NumUnitsCutFirstStage[7,7]","NumUnitsCutFirstStage[8,1]","NumUnitsCutFirstStage[8,2]","NumUnitsCutFirstStage[8,3]","NumUnitsCutFirstStage[8,4]","NumUnitsCutFirstStage[8,5]","NumUnitsCutFirstStage[8,6]","NumUnitsCutFirstStage[8,7]","NumUnitsCutFirstStage[8,8]","NumUnitsCutFirstStage[9,1]","NumUnitsCutFirstStage[9,2]","NumUnitsCutFirstStage[9,3]","NumUnitsCutFirstStage[9,4]","NumUnitsCutFirstStage[9,5]","NumUnitsCutFirstStage[9,6]","NumUnitsCutFirstStage[9,7]","NumUnitsCutFirstStage[9,8]","NumUnitsCutFirstStage[9,9]","NumUnitsCutFirstStage[10,1]","NumUnitsCutFirstStage[10,2]","NumUnitsCutFirstStage[10,3]","NumUnitsCutFirstStage[10,4]","NumUnitsCutFirstStage[10,5]","NumUnitsCutFirstStage[10,6]","NumUnitsCutFirstStage[10,7]","NumUnitsCutFirstStage[10,8]","NumUnitsCutFirstStage[10,9]","NumUnitsCutFirstStage[10,10]"
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
