iteration,hub upper bound,hub lower bound
0,inf,-inf
1,inf,-inf
2,-260.5,-275.70000000000005
3,-260.5,-275.70000000000005
4,-260.5,-272.90000000000003
5,-260.5,-272.15000000000003
6,-260.5,-272.15000000000003
7,-260.5,-271.2
8,-260.5,-271.1
9,-260.5,-271.1
10,-260.5,-270.95000000000005
11,-260.5,-270.40000000000003
12,-260.5,-270.15000000000003
13,-260.5,-270.15000000000003
14,-260.5,-270.15000000000003
15,-260.5,-269.90000000000003
16,-260.5,-269.70000000000005
17,-260.5,-269.70000000000005
18,-260.5,-269.45000000000005
19,-260.5,-269.45000000000005
20,-260.5,-269.45000000000005
21,-260.5,-268.8
22,-260.5,-268.65000000000003
23,-260.5,-268.55
24,-260.5,-268.55
25,-260.5,-268.55
26,-260.5,-268.25
27,-260.5,-268.25
28,-260.5,-268.25
29,-260.5,-268.25
30,-260.5,-267.70000000000005
31,-260.5,-267.70000000000005
32,-260.5,-267.70000000000005
33,-260.5,-267.7
34,-260.5,-267.7
35,-260.5,-267.40000000000003
36,-260.5,-267.40000000000003
37,-260.5,-267.40000000000003
38,-260.5,-266.8
39,-260.5,-266.8
40,-260.5,-266.8
41,-260.5,-266.8
42,-260.5,-266.65000000000003
43,-260.5,-266.65000000000003
44,-260.5,-266.45000000000005
45,-260.5,-266.45
46,-260.5,-266.45
47,-260.5,-266.3
48,-260.5,-266.3
49,-260.5,-266.3
50,-260.5,-265.8
