iteration,hub upper bound,hub lower bound
0,inf,-inf
1,inf,-inf
2,-260.5,-275.70000000000005
3,-260.5,-275.70000000000005
4,-260.5,-274.37
5,-260.5,-273.96000000000004
6,-260.5,-273.59000000000003
7,-260.5,-273.09000000000003
8,-260.5,-272.79
9,-260.5,-272.79
10,-260.5,-272.55
11,-260.5,-272.25
12,-260.5,-272.25
13,-260.5,-272.08000000000004
14,-260.5,-271.91
15,-260.5,-271.83000000000004
16,-260.5,-271.64
17,-260.5,-271.50000000000006
18,-260.5,-271.43000000000006
19,-260.5,-271.43000000000006
20,-260.5,-271.32000000000005
21,-260.5,-271.25
22,-260.5,-271.22
23,-260.5,-271.11
24,-260.5,-271.03
25,-260.5,-270.97
26,-260.5,-270.77000000000004
27,-260.5,-270.68
28,-260.5,-270.68
29,-260.5,-270.65000000000003
30,-260.5,-270.61
31,-260.5,-270.41
32,-260.5,-270.37
33,-260.5,-270.27
34,-260.5,-270.22
35,-260.5,-270.2
36,-260.5,-270.2
37,-260.5,-270.18
38,-260.5,-270.08000000000004
39,-260.5,-269.97
40,-260.5,-269.89
41,-260.5,-269.82
42,-260.5,-269.82
43,-260.5,-269.74
44,-260.5,-269.74
45,-260.5,-269.74
46,-260.5,-269.64
47,-260.5,-269.49
48,-260.5,-269.43
49,-260.5,-269.43
50,-260.5,-269.36
