iteration,hub upper bound,hub lower bound
0,inf,-inf
1,inf,-inf
2,-260.5,-275.70000000000005
3,-260.5,-274.6000000014685
4,-260.5,-274.6000000014685
5,-260.5,-273.3
6,-260.5,-272.5
7,-260.5,-272.5
8,-260.5,-272.5
9,-260.5,-272.1
10,-260.5,-272.1
11,-260.5,-271.0
12,-260.5,-271.0
13,-260.5,-271.0
14,-260.5,-271.0
15,-260.5,-270.7
16,-260.5,-270.7
17,-260.5,-270.7
18,-260.5,-270.7
19,-260.5,-270.7
20,-260.5,-270.7
21,-260.5,-270.0
22,-260.5,-269.10000000000036
23,-260.5,-268.8
24,-260.5,-268.8
25,-260.5,-268.8
26,-260.5,-268.8
27,-260.5,-268.8
28,-260.5,-268.70000000000005
29,-260.5,-268.70000000000005
30,-260.5,-267.70000000000005
31,-260.5,-267.70000000000005
32,-260.5,-267.70000000000005
33,-260.5,-267.70000000000005
34,-260.5,-267.70000000000005
35,-260.5,-267.70000000000005
36,-260.5,-267.70000000000005
37,-260.5,-267.70000000000005
38,-260.5,-267.5
39,-260.5,-267.5
40,-260.5,-267.5
41,-260.5,-267.5
42,-260.5,-267.0
43,-260.5,-267.0
44,-260.5,-266.7
45,-260.5,-266.7
46,-260.5,-266.7
47,-260.5,-266.7
48,-260.5,-266.7
49,-260.5,-266.2
50,-260.5,-266.2
51,-260.5,-266.2
52,-260.5,-266.2
53,-260.5,-266.2
54,-260.5,-266.2
55,-260.5,-266.2
56,-260.5,-266.2
57,-260.5,-266.2
58,-260.5,-266.2
59,-260.5,-266.2
60,-260.5,-266.2
61,-260.5,-266.2
62,-260.5,-266.2
63,-260.5,-266.2
64,-260.5,-266.2
65,-260.5,-265.8
66,-260.5,-265.8
67,-260.5,-265.8
68,-260.5,-265.8
69,-260.5,-265.8
70,-260.5,-265.8
71,-260.5,-265.8
72,-260.5,-265.8
73,-260.5,-265.8
74,-260.5,-265.8
75,-260.5,-265.8
76,-260.5,-265.8
77,-260.5,-265.8
78,-260.5,-265.8
79,-260.5,-265.6
80,-260.5,-265.6
81,-260.5,-265.3000008983
82,-260.5,-264.8
83,-260.5,-264.7
84,-260.5,-264.7
85,-260.5,-264.7
86,-260.5,-264.7
87,-260.5,-264.7
88,-260.5,-264.7
89,-260.5,-264.7
90,-260.5,-264.59999999999997
91,-260.5,-264.59999999999997
92,-260.5,-264.59999999999997
93,-260.5,-264.59999999999997
94,-260.5,-264.59999999999997
95,-260.5,-264.59999999999997
96,-260.5,-264.59999999999997
97,-260.5,-264.59999999999997
98,-260.5,-264.59999999999997
99,-260.5,-264.59999999999997
100,-260.5,-264.59999999999997
