iteration,hub upper bound,hub lower bound,spoke bound
1,,,
2,inf,-inf,-275.70000000000005
3,-260.5,-275.70000000000005,-273.85
4,-260.5,-275.70000000000005,-273.15000000000003
5,-260.5,-273.85,-272.5
6,-260.5,-273.15000000000003,-272.15000000000003
7,-260.5,-272.5,-272.1
8,-260.5,-272.1,-271.75
9,-260.5,-272.1,-271.25
10,-260.5,-271.75,-271.35
11,-260.5,-271.25,-271.0
12,-260.5,-271.25,-270.6
13,-260.5,-271.0,-270.55
14,-260.5,-270.55,-270.5
15,-260.5,-270.55,-269.7
16,-260.5,-270.5,-270.15000000000003
17,-260.5,-269.7,-270.05
18,-260.5,-269.7,-269.70000000000005
19,-260.5,-269.7,-269.40000000000003
20,-260.5,-269.7,-269.85
21,-260.5,-269.40000000000003,-270.15000000000003
22,-260.5,-269.40000000000003,-269.40000000000003
23,-260.5,-269.40000000000003,-269.3
24,-260.5,-269.40000000000003,-269.55
25,-260.5,-269.3,-269.1
26,-260.5,-269.3,-269.25
27,-260.5,-269.1,-268.95000000000005
28,-260.5,-268.95000000000005,-268.75000000000006
29,-260.5,-268.95000000000005,-268.20000000000005
30,-260.5,-268.75000000000006,-268.70000000000005
31,-260.5,-268.20000000000005,-268.3
32,-260.5,-268.20000000000005,-268.1
33,-260.5,-268.1,-268.2
34,-260.5,-268.1,-268.3
35,-260.5,-268.1,-268.55
36,-260.5,-268.1,-268.55
37,-260.5,-268.1,-268.55
38,-260.5,-268.1,-268.6
39,-260.5,-268.1,-267.75
40,-260.5,-268.1,-268.25
41,-260.5,-268.1,-268.1
42,-260.5,-268.1,-268.25
43,-260.5,-268.1,-267.6
44,-260.5,-268.1,-267.20000000000005
45,0.0,0.0,-266.8
