iteration,hub upper bound,hub lower bound,spoke bound
1,,,
2,inf,-inf,64108.30023949467
3,64414.016479111524,64108.30023949467,64088.6038570454
4,64156.78018678611,64108.30023949467,64106.342010427994
5,64143.4903020906,64108.30023949467,64108.457377763356
6,64143.30440658852,64108.30023949467,64112.76709682013
7,64143.158208967376,64108.457377763356,64112.80376609107
8,64143.158208967376,64112.76709682013,64112.905994728
9,64143.158208967376,64112.80376609107,64112.77000498622
10,64143.158208967376,64112.905994728,64112.80376609107
11,64143.158208967376,64112.905994728,64112.905994728
12,64143.158208967376,64112.905994728,64112.77000498622
13,64143.158208967376,64112.905994728,64112.80266939451
14,64143.158208967376,64112.905994728,64112.905994728
15,64143.158208967376,64112.905994728,64112.77000498622
16,64143.158208967376,64112.905994728,64112.905994728
17,64143.158208967376,64112.905994728,64112.77000498622
18,64143.158208967376,64112.905994728,64112.80266939451
19,64143.158208967376,64112.905994728,64112.905994728
20,64143.158208967376,64112.905994728,64112.77000498622
21,64143.158208967376,64112.905994728,64112.80266939451
22,64143.158208967376,64112.905994728,64112.905994728
23,64143.158208967376,64112.905994728,64112.77000498622
24,64143.158208967376,64112.905994728,64112.80266939451
25,0.0,0.0,64112.905994728
